




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.5228828 Released 2021-08-18
Analyzed List:	Quadro.intersect.genes_uniq.txt (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	Quadro.intersect.genes_uniq.txt (6688)	Quadro.intersect.genes_uniq.txt (expected)	Quadro.intersect.genes_uniq.txt (over/under)	Quadro.intersect.genes_uniq.txt (fold Enrichment)	Quadro.intersect.genes_uniq.txt (raw P-value)	Quadro.intersect.genes_uniq.txt (FDR)
regulation of primary metabolic process (GO:0080090)	5707	2301	1853.29	+	1.24	4.94E-25	4.85E-22
multicellular organism development (GO:0007275)	4525	1888	1469.44	+	1.28	4.81E-25	5.04E-22
developmental process (GO:0032502)	5565	2251	1807.17	+	1.25	6.02E-25	5.56E-22
negative regulation of cellular process (GO:0048523)	4785	1975	1553.88	+	1.27	1.42E-24	1.24E-21
negative regulation of biological process (GO:0048519)	5187	2108	1684.42	+	1.25	9.75E-24	8.07E-21
system development (GO:0048731)	4169	1749	1353.84	+	1.29	1.06E-23	8.31E-21
anatomical structure development (GO:0048856)	5001	2042	1624.02	+	1.26	1.32E-23	9.91E-21
positive regulation of biological process (GO:0048518)	6062	2407	1968.57	+	1.22	2.02E-23	1.44E-20
regulation of metabolic process (GO:0019222)	6586	2582	2138.73	+	1.21	4.79E-23	3.27E-20
regulation of cellular process (GO:0050794)	11076	4044	3596.81	+	1.12	1.00E-21	6.55E-19
regulation of nucleobase-containing compound metabolic process (GO:0019219)	3931	1642	1276.55	+	1.29	2.71E-21	1.70E-18
regulation of macromolecule metabolic process (GO:0060255)	6083	2388	1975.39	+	1.21	5.91E-21	3.57E-18
regulation of cellular biosynthetic process (GO:0031326)	4088	1693	1327.53	+	1.28	7.80E-21	4.54E-18
regulation of biological process (GO:0050789)	11528	4175	3743.59	+	1.12	1.37E-20	7.67E-18
regulation of biosynthetic process (GO:0009889)	4152	1712	1348.32	+	1.27	2.00E-20	1.08E-17
regulation of RNA metabolic process (GO:0051252)	3698	1549	1200.88	+	1.29	2.81E-20	1.47E-17
nervous system development (GO:0007399)	2193	998	712.15	+	1.40	2.99E-20	1.52E-17
regulation of cellular macromolecule biosynthetic process (GO:2000112)	3906	1622	1268.43	+	1.28	3.48E-20	1.71E-17
regulation of macromolecule biosynthetic process (GO:0010556)	3935	1631	1277.85	+	1.28	5.08E-20	2.42E-17
positive regulation of nitrogen compound metabolic process (GO:0051173)	2992	1287	971.62	+	1.32	1.67E-19	7.72E-17
nitrogen compound metabolic process (GO:0006807)	6360	2463	2065.34	+	1.19	3.32E-19	1.49E-16
regulation of cellular component organization (GO:0051128)	2359	1049	766.06	+	1.37	5.91E-19	2.58E-16
cellular metabolic process (GO:0044237)	7029	2685	2282.59	+	1.18	7.46E-19	3.17E-16
biological regulation (GO:0065007)	12249	4380	3977.73	+	1.10	1.33E-18	5.49E-16
cellular component organization or biogenesis (GO:0071840)	5496	2155	1784.77	+	1.21	4.33E-18	1.74E-15
positive regulation of cellular metabolic process (GO:0031325)	3186	1342	1034.62	+	1.30	6.79E-18	2.67E-15
cellular component organization (GO:0016043)	5298	2084	1720.47	+	1.21	7.45E-18	2.86E-15
regulation of transcription, DNA-templated (GO:0006355)	3415	1423	1108.98	+	1.28	8.23E-18	3.08E-15
G protein-coupled receptor signaling pathway (GO:0007186)	1216	222	394.88	-	.56	9.67E-18	3.45E-15
regulation of nucleic acid-templated transcription (GO:1903506)	3416	1423	1109.31	+	1.28	9.66E-18	3.53E-15
cellular macromolecule metabolic process (GO:0044260)	4442	1785	1442.49	+	1.24	1.13E-17	3.88E-15
primary metabolic process (GO:0044238)	6869	2617	2230.63	+	1.17	1.12E-17	3.91E-15
positive regulation of macromolecule metabolic process (GO:0010604)	3382	1409	1098.27	+	1.28	1.38E-17	4.51E-15
regulation of RNA biosynthetic process (GO:2001141)	3421	1423	1110.93	+	1.28	1.38E-17	4.60E-15
positive regulation of metabolic process (GO:0009893)	3675	1512	1193.42	+	1.27	2.02E-17	6.48E-15
immune response (GO:0006955)	1678	343	544.91	-	.63	2.54E-17	7.99E-15
regulation of gene expression (GO:0010468)	4749	1885	1542.19	+	1.22	4.88E-17	1.50E-14
sensory perception (GO:0007600)	978	168	317.59	-	.53	8.32E-17	2.51E-14
regulation of signaling (GO:0023051)	3257	1354	1057.67	+	1.28	1.53E-16	4.54E-14
regulation of developmental process (GO:0050793)	2368	1029	768.98	+	1.34	2.43E-16	7.08E-14
regulation of cell communication (GO:0010646)	3242	1345	1052.80	+	1.28	3.41E-16	9.73E-14
positive regulation of RNA metabolic process (GO:0051254)	1737	789	564.07	+	1.40	9.66E-16	2.66E-13
cellular developmental process (GO:0048869)	3463	1419	1124.57	+	1.26	9.59E-16	2.69E-13
anatomical structure morphogenesis (GO:0009653)	2130	934	691.69	+	1.35	1.56E-15	4.24E-13
negative regulation of biosynthetic process (GO:0009890)	1649	751	535.49	+	1.40	2.96E-15	7.88E-13
cell differentiation (GO:0030154)	3403	1392	1105.09	+	1.26	3.15E-15	8.24E-13
neurogenesis (GO:0022008)	1361	641	441.97	+	1.45	3.36E-15	8.67E-13
positive regulation of nucleobase-containing compound metabolic process (GO:0045935)	1902	846	617.65	+	1.37	3.47E-15	8.80E-13
organic substance metabolic process (GO:0071704)	7404	2764	2404.37	+	1.15	3.76E-15	9.38E-13
metabolic process (GO:0008152)	7882	2923	2559.59	+	1.14	3.85E-15	9.45E-13
negative regulation of cellular biosynthetic process (GO:0031327)	1616	736	524.78	+	1.40	6.63E-15	1.60E-12
negative regulation of cellular metabolic process (GO:0031324)	2546	1078	826.79	+	1.30	1.13E-14	2.69E-12
negative regulation of nitrogen compound metabolic process (GO:0051172)	2380	1017	772.88	+	1.32	1.30E-14	3.05E-12
negative regulation of metabolic process (GO:0009892)	2952	1224	958.63	+	1.28	1.46E-14	3.38E-12
negative regulation of cellular macromolecule biosynthetic process (GO:2000113)	1547	707	502.37	+	1.41	1.50E-14	3.42E-12
positive regulation of transcription, DNA-templated (GO:0045893)	1611	730	523.15	+	1.40	1.93E-14	4.26E-12
positive regulation of nucleic acid-templated transcription (GO:1903508)	1611	730	523.15	+	1.40	1.93E-14	4.32E-12
regulation of transcription by RNA polymerase II (GO:0006357)	2538	1072	824.19	+	1.30	2.31E-14	5.04E-12
generation of neurons (GO:0048699)	1237	586	401.70	+	1.46	2.35E-14	5.06E-12
positive regulation of RNA biosynthetic process (GO:1902680)	1613	730	523.80	+	1.39	2.39E-14	5.09E-12
negative regulation of macromolecule biosynthetic process (GO:0010558)	1558	709	505.94	+	1.40	2.62E-14	5.49E-12
animal organ development (GO:0048513)	3079	1263	999.87	+	1.26	5.12E-14	1.06E-11
macromolecule metabolic process (GO:0043170)	5743	2189	1864.98	+	1.17	5.48E-14	1.12E-11
positive regulation of cellular biosynthetic process (GO:0031328)	1949	852	632.92	+	1.35	6.27E-14	1.26E-11
regulation of signal transduction (GO:0009966)	2867	1185	931.03	+	1.27	8.13E-14	1.62E-11
positive regulation of macromolecule biosynthetic process (GO:0010557)	1847	813	599.79	+	1.36	8.43E-14	1.64E-11
organonitrogen compound metabolic process (GO:1901564)	4787	1859	1554.53	+	1.20	8.42E-14	1.66E-11
regulation of localization (GO:0032879)	2709	1128	879.72	+	1.28	8.77E-14	1.68E-11
positive regulation of biosynthetic process (GO:0009891)	1985	862	644.61	+	1.34	1.35E-13	2.56E-11
cellular protein metabolic process (GO:0044267)	3219	1305	1045.33	+	1.25	2.66E-13	4.98E-11
negative regulation of macromolecule metabolic process (GO:0010605)	2737	1129	888.81	+	1.27	6.39E-13	1.18E-10
humoral immune response (GO:0006959)	337	37	109.44	-	.34	6.83E-13	1.25E-10
negative regulation of nucleobase-containing compound metabolic process (GO:0045934)	1538	687	499.45	+	1.38	1.15E-12	2.08E-10
defense response to bacterium (GO:0042742)	350	41	113.66	-	.36	2.27E-12	4.06E-10
regulation of cell differentiation (GO:0045595)	1496	665	485.81	+	1.37	5.51E-12	9.73E-10
negative regulation of RNA metabolic process (GO:0051253)	1433	640	465.35	+	1.38	7.97E-12	1.39E-09
organelle organization (GO:0006996)	3360	1337	1091.12	+	1.23	8.63E-12	1.49E-09
neuron differentiation (GO:0030182)	1008	477	327.34	+	1.46	9.58E-12	1.64E-09
protein metabolic process (GO:0019538)	3807	1491	1236.28	+	1.21	1.34E-11	2.27E-09
negative regulation of transcription, DNA-templated (GO:0045892)	1322	596	429.30	+	1.39	1.39E-11	2.33E-09
negative regulation of nucleic acid-templated transcription (GO:1903507)	1324	596	429.95	+	1.39	1.72E-11	2.85E-09
negative regulation of RNA biosynthetic process (GO:1902679)	1326	596	430.60	+	1.38	2.13E-11	3.48E-09
regulation of multicellular organismal process (GO:0051239)	2578	1053	837.18	+	1.26	3.21E-11	5.20E-09
positive regulation of transcription by RNA polymerase II (GO:0045944)	1185	540	384.82	+	1.40	3.92E-11	6.28E-09
complement activation, classical pathway (GO:0006958)	124	4	40.27	-	.10	3.97E-11	6.30E-09
head development (GO:0060322)	806	390	261.74	+	1.49	1.12E-10	1.77E-08
central nervous system development (GO:0007417)	1002	466	325.39	+	1.43	1.18E-10	1.84E-08
protein modification process (GO:0036211)	2610	1057	847.57	+	1.25	1.34E-10	2.05E-08
cellular protein modification process (GO:0006464)	2610	1057	847.57	+	1.25	1.34E-10	2.07E-08
regulation of neuron projection development (GO:0010975)	443	242	143.86	+	1.68	1.76E-10	2.66E-08
complement activation (GO:0006956)	139	7	45.14	-	.16	2.23E-10	3.34E-08
cell development (GO:0048468)	1623	697	527.05	+	1.32	2.27E-10	3.37E-08
regulation of biological quality (GO:0065008)	3705	1439	1203.16	+	1.20	2.35E-10	3.46E-08
brain development (GO:0007420)	761	369	247.13	+	1.49	2.86E-10	4.16E-08
macromolecule modification (GO:0043412)	2825	1127	917.39	+	1.23	4.30E-10	6.20E-08
negative regulation of signal transduction (GO:0009968)	1204	537	390.99	+	1.37	5.59E-10	7.99E-08
neuron development (GO:0048666)	810	385	263.04	+	1.46	8.27E-10	1.17E-07
regulation of cell projection organization (GO:0031344)	643	319	208.81	+	1.53	8.86E-10	1.23E-07
humoral immune response mediated by circulating immunoglobulin (GO:0002455)	128	6	41.57	-	.14	8.81E-10	1.24E-07
negative regulation of signaling (GO:0023057)	1305	573	423.78	+	1.35	9.05E-10	1.25E-07
negative regulation of cell communication (GO:0010648)	1301	570	422.49	+	1.35	1.42E-09	1.94E-07
localization (GO:0051179)	5081	1899	1650.00	+	1.15	1.77E-09	2.40E-07
regulation of plasma membrane bounded cell projection organization (GO:0120035)	626	309	203.29	+	1.52	2.26E-09	3.03E-07
positive regulation of developmental process (GO:0051094)	1267	554	411.44	+	1.35	3.00E-09	4.00E-07
multicellular organismal process (GO:0032501)	6584	2401	2138.08	+	1.12	3.30E-09	4.36E-07
cellular response to stress (GO:0033554)	1519	644	493.28	+	1.31	6.05E-09	7.92E-07
response to organic substance (GO:0010033)	2688	1064	872.90	+	1.22	6.34E-09	8.17E-07
negative regulation of transcription by RNA polymerase II (GO:0000122)	932	425	302.66	+	1.40	6.31E-09	8.20E-07
B cell mediated immunity (GO:0019724)	183	17	59.43	-	.29	7.21E-09	9.14E-07
immunoglobulin mediated immune response (GO:0016064)	179	16	58.13	-	.28	7.16E-09	9.14E-07
cellular nitrogen compound metabolic process (GO:0034641)	3193	1240	1036.89	+	1.20	7.33E-09	9.22E-07
regulation of anatomical structure morphogenesis (GO:0022603)	908	415	294.86	+	1.41	7.47E-09	9.32E-07
negative regulation of response to stimulus (GO:0048585)	1559	658	506.27	+	1.30	7.60E-09	9.40E-07
regulation of protein metabolic process (GO:0051246)	2492	992	809.25	+	1.23	9.53E-09	1.17E-06
regulation of organelle organization (GO:0033043)	1189	520	386.11	+	1.35	9.95E-09	1.21E-06
regulation of molecular function (GO:0065009)	3060	1192	993.70	+	1.20	1.02E-08	1.23E-06
embryo development (GO:0009790)	991	445	321.82	+	1.38	1.09E-08	1.31E-06
regulation of response to stimulus (GO:0048583)	3805	1449	1235.63	+	1.17	1.23E-08	1.47E-06
cell projection organization (GO:0030030)	1119	492	363.38	+	1.35	1.57E-08	1.86E-06
circulatory system development (GO:0072359)	870	397	282.52	+	1.41	1.79E-08	2.10E-06
negative regulation of developmental process (GO:0051093)	877	399	284.80	+	1.40	2.03E-08	2.36E-06
regulation of multicellular organismal development (GO:2000026)	1294	556	420.21	+	1.32	2.06E-08	2.38E-06
lymphocyte mediated immunity (GO:0002449)	235	29	76.31	-	.38	3.42E-08	3.92E-06
neuron projection development (GO:0031175)	651	310	211.41	+	1.47	3.52E-08	4.01E-06
nucleobase-containing compound metabolic process (GO:0006139)	2474	976	803.40	+	1.21	5.18E-08	5.82E-06
cell part morphogenesis (GO:0032990)	483	242	156.85	+	1.54	5.18E-08	5.85E-06
anatomical structure formation involved in morphogenesis (GO:0048646)	881	397	286.10	+	1.39	5.34E-08	5.95E-06
cell projection morphogenesis (GO:0048858)	463	234	150.35	+	1.56	5.96E-08	6.60E-06
defense response to other organism (GO:0098542)	989	219	321.17	-	.68	6.07E-08	6.67E-06
plasma membrane bounded cell projection organization (GO:0120036)	1068	467	346.82	+	1.35	6.14E-08	6.70E-06
tube development (GO:0035295)	845	383	274.40	+	1.40	6.32E-08	6.85E-06
regulation of transport (GO:0051049)	1732	710	562.45	+	1.26	6.55E-08	7.05E-06
innate immune response (GO:0045087)	783	164	254.27	-	.64	6.75E-08	7.22E-06
regulation of cell development (GO:0060284)	495	246	160.75	+	1.53	7.11E-08	7.55E-06
regulation of neurogenesis (GO:0050767)	359	191	116.58	+	1.64	7.18E-08	7.57E-06
immunoglobulin production (GO:0002377)	155	14	50.33	-	.28	7.40E-08	7.75E-06
plasma membrane bounded cell projection morphogenesis (GO:0120039)	459	231	149.06	+	1.55	8.55E-08	8.90E-06
production of molecular mediator of immune response (GO:0002440)	158	15	51.31	-	.29	1.11E-07	1.14E-05
phagocytosis, recognition (GO:0006910)	107	6	34.75	-	.17	1.19E-07	1.23E-05
locomotion (GO:0040011)	1195	511	388.06	+	1.32	1.37E-07	1.40E-05
movement of cell or subcellular component (GO:0006928)	1413	591	458.86	+	1.29	1.39E-07	1.41E-05
response to organonitrogen compound (GO:0010243)	984	431	319.54	+	1.35	1.85E-07	1.86E-05
cellular response to endogenous stimulus (GO:0071495)	1070	463	347.47	+	1.33	1.95E-07	1.94E-05
neuron projection morphogenesis (GO:0048812)	455	227	147.76	+	1.54	1.95E-07	1.95E-05
response to endogenous stimulus (GO:0009719)	1342	563	435.80	+	1.29	2.02E-07	1.99E-05
cellular localization (GO:0051641)	2264	894	735.21	+	1.22	2.05E-07	2.01E-05
negative regulation of cell differentiation (GO:0045596)	641	300	208.16	+	1.44	2.19E-07	2.14E-05
regulation of cellular protein metabolic process (GO:0032268)	2328	916	755.99	+	1.21	2.24E-07	2.18E-05
immune system process (GO:0002376)	2370	620	769.63	-	.81	2.45E-07	2.34E-05
nervous system process (GO:0050877)	1418	343	460.48	-	.74	2.44E-07	2.35E-05
regulation of catabolic process (GO:0009894)	956	419	310.45	+	1.35	2.53E-07	2.41E-05
response to bacterium (GO:0009617)	722	152	234.46	-	.65	2.92E-07	2.77E-05
regulation of cell population proliferation (GO:0042127)	1650	673	535.82	+	1.26	2.99E-07	2.79E-05
cellular aromatic compound metabolic process (GO:0006725)	2688	1041	872.90	+	1.19	2.98E-07	2.79E-05
protein localization (GO:0008104)	1901	763	617.33	+	1.24	2.97E-07	2.79E-05
regulation of cell cycle (GO:0051726)	1001	435	325.06	+	1.34	3.16E-07	2.92E-05
regulation of protein modification process (GO:0031399)	1483	612	481.59	+	1.27	3.28E-07	3.01E-05
positive regulation of cellular component organization (GO:0051130)	1119	478	363.38	+	1.32	3.90E-07	3.57E-05
cellular component morphogenesis (GO:0032989)	569	270	184.78	+	1.46	3.98E-07	3.61E-05
cell morphogenesis (GO:0000902)	675	311	219.20	+	1.42	4.07E-07	3.68E-05
cell cycle (GO:0007049)	1205	509	391.31	+	1.30	4.36E-07	3.91E-05
cell morphogenesis involved in differentiation (GO:0000904)	517	249	167.89	+	1.48	4.57E-07	4.08E-05
macromolecule localization (GO:0033036)	2308	904	749.50	+	1.21	5.03E-07	4.47E-05
positive regulation of signaling (GO:0023056)	1639	666	532.25	+	1.25	5.30E-07	4.68E-05
heterocycle metabolic process (GO:0046483)	2625	1015	852.44	+	1.19	5.41E-07	4.75E-05
cytoskeleton organization (GO:0007010)	1169	495	379.62	+	1.30	5.55E-07	4.85E-05
peptidyl-amino acid modification (GO:0018193)	851	376	276.35	+	1.36	5.77E-07	5.01E-05
tube morphogenesis (GO:0035239)	644	297	209.13	+	1.42	6.19E-07	5.34E-05
positive regulation of cell differentiation (GO:0045597)	833	369	270.51	+	1.36	6.33E-07	5.44E-05
intracellular signal transduction (GO:0035556)	1464	602	475.42	+	1.27	6.37E-07	5.44E-05
organic cyclic compound metabolic process (GO:1901360)	2922	1117	948.89	+	1.18	6.51E-07	5.53E-05
positive regulation of cell communication (GO:0010647)	1632	662	529.97	+	1.25	6.55E-07	5.53E-05
regulation of growth (GO:0040008)	659	303	214.00	+	1.42	6.60E-07	5.54E-05
regulation of intracellular signal transduction (GO:1902531)	1655	670	537.44	+	1.25	6.74E-07	5.63E-05
cellular response to organic substance (GO:0071310)	1980	786	642.98	+	1.22	7.55E-07	6.28E-05
regulation of nervous system development (GO:0051960)	438	216	142.24	+	1.52	7.75E-07	6.41E-05
phagocytosis, engulfment (GO:0006911)	132	12	42.87	-	.28	8.06E-07	6.60E-05
response to nitrogen compound (GO:1901698)	1071	457	347.80	+	1.31	8.02E-07	6.60E-05
tissue development (GO:0009888)	1597	648	518.61	+	1.25	8.61E-07	7.01E-05
positive regulation of protein metabolic process (GO:0051247)	1455	597	472.50	+	1.26	8.87E-07	7.19E-05
animal organ morphogenesis (GO:0009887)	957	414	310.78	+	1.33	9.38E-07	7.56E-05
negative regulation of cellular component organization (GO:0051129)	722	325	234.46	+	1.39	1.05E-06	8.42E-05
B cell receptor signaling pathway (GO:0050853)	130	12	42.22	-	.28	1.15E-06	9.18E-05
cellular biosynthetic process (GO:0044249)	2293	893	744.63	+	1.20	1.26E-06	1.00E-04
cell morphogenesis involved in neuron differentiation (GO:0048667)	408	202	132.49	+	1.52	1.40E-06	1.10E-04
biosynthetic process (GO:0009058)	2420	937	785.87	+	1.19	1.41E-06	1.11E-04
forebrain development (GO:0030900)	387	193	125.67	+	1.54	1.60E-06	1.25E-04
chromosome organization (GO:0051276)	1021	435	331.56	+	1.31	1.62E-06	1.26E-04
cellular macromolecule localization (GO:0070727)	1386	568	450.09	+	1.26	1.75E-06	1.36E-04
chromatin organization (GO:0006325)	686	309	222.77	+	1.39	1.79E-06	1.38E-04
axon development (GO:0061564)	375	187	121.78	+	1.54	2.32E-06	1.78E-04
regulation of cell growth (GO:0001558)	420	205	136.39	+	1.50	2.37E-06	1.81E-04
nucleic acid metabolic process (GO:0090304)	2007	788	651.75	+	1.21	2.44E-06	1.85E-04
vasculature development (GO:0001944)	509	240	165.29	+	1.45	2.50E-06	1.89E-04
enzyme linked receptor protein signaling pathway (GO:0007167)	598	274	194.19	+	1.41	2.71E-06	2.04E-04
cellular nitrogen compound biosynthetic process (GO:0044271)	1289	531	418.59	+	1.27	2.77E-06	2.06E-04
cellular protein localization (GO:0034613)	1376	562	446.84	+	1.26	2.76E-06	2.06E-04
regulation of cellular catabolic process (GO:0031329)	813	355	264.01	+	1.34	3.07E-06	2.28E-04
axonogenesis (GO:0007409)	337	171	109.44	+	1.56	3.26E-06	2.41E-04
phosphate-containing compound metabolic process (GO:0006796)	1758	698	570.89	+	1.22	3.32E-06	2.44E-04
cell surface receptor signaling pathway involved in cell-cell signaling (GO:1905114)	331	168	107.49	+	1.56	3.50E-06	2.56E-04
phosphorus metabolic process (GO:0006793)	1779	705	577.71	+	1.22	3.71E-06	2.70E-04
defense response (GO:0006952)	1387	346	450.41	-	.77	3.82E-06	2.76E-04
regulation of cell morphogenesis (GO:0022604)	310	159	100.67	+	1.58	3.89E-06	2.80E-04
leukocyte mediated immunity (GO:0002443)	282	46	91.58	-	.50	3.92E-06	2.81E-04
regulation of phosphorus metabolic process (GO:0051174)	1379	561	447.82	+	1.25	4.15E-06	2.94E-04
regulation of phosphate metabolic process (GO:0019220)	1379	561	447.82	+	1.25	4.15E-06	2.95E-04
cellular response to chemical stimulus (GO:0070887)	2567	981	833.61	+	1.18	4.13E-06	2.95E-04
organic substance biosynthetic process (GO:1901576)	2354	907	764.44	+	1.19	4.20E-06	2.96E-04
cell motility (GO:0048870)	986	418	320.19	+	1.31	4.36E-06	3.05E-04
localization of cell (GO:0051674)	986	418	320.19	+	1.31	4.36E-06	3.06E-04
cellular component assembly (GO:0022607)	2251	870	730.99	+	1.19	4.67E-06	3.25E-04
regulation of phosphorylation (GO:0042325)	1236	509	401.38	+	1.27	4.69E-06	3.25E-04
embryonic morphogenesis (GO:0048598)	568	260	184.45	+	1.41	5.05E-06	3.48E-04
adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains (GO:0002460)	245	38	79.56	-	.48	5.40E-06	3.69E-04
regulation of catalytic activity (GO:0050790)	2393	919	777.10	+	1.18	5.39E-06	3.70E-04
positive regulation of signal transduction (GO:0009967)	1460	589	474.12	+	1.24	5.53E-06	3.77E-04
negative regulation of gene expression (GO:0010629)	879	377	285.45	+	1.32	5.63E-06	3.81E-04
positive regulation of cell projection organization (GO:0031346)	350	174	113.66	+	1.53	6.00E-06	4.04E-04
cell migration (GO:0016477)	840	362	272.78	+	1.33	6.81E-06	4.57E-04
phosphorylation (GO:0016310)	874	374	283.82	+	1.32	7.25E-06	4.85E-04
cellular component biogenesis (GO:0044085)	2481	947	805.68	+	1.18	7.41E-06	4.94E-04
regionalization (GO:0003002)	316	160	102.62	+	1.56	7.45E-06	4.94E-04
positive regulation of cellular protein metabolic process (GO:0032270)	1366	552	443.59	+	1.24	9.21E-06	6.08E-04
antimicrobial humoral response (GO:0019730)	141	16	45.79	-	.35	9.36E-06	6.13E-04
plasma membrane invagination (GO:0099024)	141	16	45.79	-	.35	9.36E-06	6.15E-04
regulation of Wnt signaling pathway (GO:0030111)	325	163	105.54	+	1.54	9.64E-06	6.29E-04
blood vessel development (GO:0001568)	486	226	157.82	+	1.43	9.69E-06	6.29E-04
regulation of neuron differentiation (GO:0045664)	193	108	62.67	+	1.72	1.04E-05	6.76E-04
response to growth factor (GO:0070848)	485	225	157.50	+	1.43	1.16E-05	7.44E-04
mitotic cell cycle (GO:0000278)	599	269	194.52	+	1.38	1.19E-05	7.61E-04
chordate embryonic development (GO:0043009)	613	274	199.07	+	1.38	1.22E-05	7.81E-04
response to external biotic stimulus (GO:0043207)	1373	348	445.87	-	.78	1.39E-05	8.86E-04
immune effector process (GO:0002252)	435	87	141.26	-	.62	1.49E-05	9.47E-04
sensory organ development (GO:0007423)	558	252	181.20	+	1.39	1.56E-05	9.82E-04
regulation of dendrite development (GO:0050773)	104	68	33.77	+	2.01	1.58E-05	9.87E-04
response to other organism (GO:0051707)	1372	348	445.54	-	.78	1.57E-05	9.88E-04
cell death (GO:0008219)	978	408	317.59	+	1.28	1.72E-05	1.07E-03
mitotic cell cycle process (GO:1903047)	509	233	165.29	+	1.41	1.76E-05	1.09E-03
embryo development ending in birth or egg hatching (GO:0009792)	633	280	205.56	+	1.36	1.92E-05	1.19E-03
heart development (GO:0007507)	533	241	173.09	+	1.39	2.18E-05	1.34E-03
regulation of apoptotic process (GO:0042981)	1426	568	463.08	+	1.23	2.44E-05	1.50E-03
behavior (GO:0007610)	558	250	181.20	+	1.38	2.66E-05	1.63E-03
telencephalon development (GO:0021537)	254	131	82.48	+	1.59	2.72E-05	1.65E-03
apoptotic process (GO:0006915)	905	379	293.89	+	1.29	2.77E-05	1.68E-03
membrane invagination (GO:0010324)	148	19	48.06	-	.40	2.79E-05	1.69E-03
regulation of programmed cell death (GO:0043067)	1456	578	472.82	+	1.22	2.88E-05	1.74E-03
regulation of cellular component movement (GO:0051270)	1025	423	332.86	+	1.27	2.92E-05	1.75E-03
regulation of dendrite morphogenesis (GO:0048814)	67	49	21.76	+	2.25	2.98E-05	1.78E-03
nucleobase-containing compound biosynthetic process (GO:0034654)	738	317	239.66	+	1.32	3.09E-05	1.84E-03
aromatic compound biosynthetic process (GO:0019438)	821	347	266.61	+	1.30	3.46E-05	2.05E-03
regulation of protein localization (GO:0032880)	853	359	277.00	+	1.30	3.50E-05	2.07E-03
regulation of protein phosphorylation (GO:0001932)	1086	444	352.67	+	1.26	3.57E-05	2.10E-03
regulation of axonogenesis (GO:0050770)	156	89	50.66	+	1.76	3.62E-05	2.12E-03
regulation of mitotic cell cycle (GO:0007346)	433	201	140.61	+	1.43	3.76E-05	2.20E-03
programmed cell death (GO:0012501)	942	391	305.90	+	1.28	3.83E-05	2.22E-03
cellular response to growth factor stimulus (GO:0071363)	455	209	147.76	+	1.41	3.82E-05	2.22E-03
negative regulation of phosphorus metabolic process (GO:0010563)	424	197	137.69	+	1.43	3.89E-05	2.25E-03
blood vessel morphogenesis (GO:0048514)	404	189	131.19	+	1.44	3.97E-05	2.28E-03
regulation of cellular localization (GO:0060341)	820	346	266.29	+	1.30	3.96E-05	2.28E-03
regulation of cell death (GO:0010941)	1593	624	517.31	+	1.21	4.19E-05	2.39E-03
negative regulation of phosphate metabolic process (GO:0045936)	423	196	137.36	+	1.43	4.64E-05	2.64E-03
